clean_text,category,predicted_sentiment
when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,-1.0,Negative
talk all the nonsense and continue all the drama will vote for modi ,0.0,Negative
what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,1.0,Neutral
asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,1.0,Negative
answer who among these the most powerful world leader today trump putin modi may ,1.0,Neutral
kiya tho refresh maarkefir comment karo ,0.0,Neutral
"surat women perform yagna seeks divine grace for narendra modi become again
",0.0,Neutral
this comes from cabinet which has scholars like modi smriti and hema time introspect,0.0,Neutral
with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,1.0,Neutral
gandhi was gay does modi  ,1.0,Negative
